img_emoji;word_count;count_emoji;emotion;tonality;class;clean_text
😊;4;1;smile;positive/negative;0;самые классные мультфильмы 😊
🥺;6;1;sadness;negative;4;дядя коля, поправляйся скорее! 🥺
😅;3;1;smile;positive/negative;0;старички вспомнят 😅
😂;6;1;smile;positive/negative;0;боже, почему это так смешно 😂
😂;6;1;smile;positive/negative;0;марго робби уже не та 😂
😻;5;1;joy;positive;2;эйса гонсалес без макияжа 😻
😒;10;1;disgust;neutral/skeptical;10;ecть тyт тe, ктo eщe пoмнит этиx peбят? 😒
😅;6;1;smile;positive/negative;0;только сейчас об этом узнал 😅
😂;7;1;smile;positive/negative;0;плюсани, если помнишь этих ребят! 😂
😂;4;1;smile;positive/negative;0;лайк если смотрел 😂
😂;4;1;smile;positive/negative;0;братья уэйанс лучшие 😂
☺;3;1;smile;positive/negative;0;смотрели? ☺
😂;4;1;smile;positive/negative;0;тест на возраст 😂
😂;4;1;smile;positive/negative;0;тест на возраст 😂
❤;8;1;joy;positive;2;ставь ❤, если хотел бы себе такого дружбана
😌;6;1;joy;positive;2;актёр, который подарил нам детство 😌
😂;5;1;smile;positive/negative;0;и на этом спасибо 😂
😅;2;1;smile;positive/negative;0;действительно 😅
😂;6;1;smile;positive/negative;0;и аватар ещё в придачу 😂
😍;5;1;joy;positive;2;однозначно у первого паучка 😍
😂;4;1;smile;positive/negative;0;марвел с алиэкспресс 😂
😂;4;1;smile;positive/negative;0;капитан джек уэнсдей 😂
😂;6;1;smile;positive/negative;0;дайте уже кто-то ему оскар 😂
😊;4;1;smile;positive/negative;0;фильм моего детства 😊
🥺;9;1;sadness;negative;4;«без тебя хогвартс - не хогвартс» 🥺
🥺;5;1;sadness;negative;4;отличный фильм. растрогал 🥺
😂;5;1;smile;positive/negative;0;помните их ещё? 😂
😢;4;1;sadness;negative;4;почувствуй себя старым 😢
😂;3;1;smile;positive/negative;0;парни поймут 😂
😳;3;1;shame;negative;6;девочка вундеркинд 😳
😩;6;1;sadness;negative;4;жаль что будут другие актеры 😩
😍;3;1;joy;positive;2;дочь красавица 😍
😌;4;1;joy;positive;2;очень хороший поступок 😌
💞;11;1;joy;positive;2;ольга кузьмина встретилась с чебурашкой, которого она играла в фильме 💞
😊;7;1;smile;positive/negative;0;а вам нравится джеки чан? 😊
🤯;7;1;surprise;negative;11;ему уже на минуточку 60 лет 🤯
😍;3;1;joy;positive;2;крутые косплеи 😍
😂;3;1;smile;positive/negative;0;выполнил обещание 😂
😂;2;1;smile;positive/negative;0;оригинально 😂
❤;6;1;joy;positive;2;❤, если здесь не хватает коли
💔;3;1;sadness;negative;4;николай петрович 💔
😄;7;1;smile;positive/negative;0;"ждём продолжения ""обитель зла"" 😄"
😅;3;1;smile;positive/negative;0;букин красавчик 😅
😍;4;1;joy;positive;2;леггинсы эммы стоун 😍
😌;4;1;joy;positive;2;лaйк, ecли cмoтpeл 😌
😍;5;1;joy;positive;2;фигурка у нее отпадная 😍
😃;7;1;smile;positive/negative;0;все узнали откуда эти дома? 😃
😱;8;1;fear;negative;5;джeйcон cтэйтем в супеpожидаемoм фильмe гaя pичи 😱
😂;5;1;smile;positive/negative;0;помните их ещё? 😂
❤;6;1;joy;positive;2;❤, если здeсь не хвaтает кoли
😅;8;1;smile;positive/negative;0;есть что-то в них общее, может отец😅
😏;9;1;no_emotion;neutral/skeptical;1;папарацци поймали софи тёрнер с мужем и дочками 😏
😍;2;1;joy;positive;2;богиня 😍
😂;8;1;smile;positive/negative;0;ох уж этот стиль 90-х😂
😍;7;1;joy;positive;2;галь гадот без макияжа выглядит бомбезно 😍
😏;10;1;no_emotion;neutral/skeptical;1;рози мак - дублерша дейнерис, которая превзошла саму дейнерис😏
😎;8;1;no_emotion;positive/negative;3;шикарные фильмы легендарного режиссера - ридли скотта 😎
😍;8;1;joy;positive;2;актрисы с именем эмма божественно прекрасны!😍
😿;8;1;sadness;negative;4;талантливые актеры, ушедшие из жизни слишком рано 😿
😍;9;1;joy;positive;2;лучшие мультсериалы детства, которые мы смотрели по телевизору😍
😍;8;1;joy;positive;2;юная копия моники белуччи - дева кассель😍
😂;7;1;smile;positive/negative;0;это уже папины внучки какие-то получаются😂
😍;8;1;joy;positive;2;екатерина волкова в свои 41 выглядит потрясно 😍
💞;8;1;joy;positive;2;очаровательная дакота джонсон - сама женственность! 💞
😍;8;1;joy;positive;2;у французских актрис есть свой определённый шарм😍
😂;3;1;smile;positive/negative;0;киану невозмутим😂
😂;4;1;smile;positive/negative;0;почувствуй себя старым😂
😍;7;1;joy;positive;2;так приятно смотреть на эту пару 😍
😂;5;1;smile;positive/negative;0;повезло же этому щенку😂
😎;10;1;no_emotion;positive/negative;3;этот датчанин чересчур хорош: мадс миккельсен собственной персоной😎
🤩;5;1;joy;positive;2;лучшая новость за сегодня 🤩
😁;3;1;smile;positive/negative;0;студенты поймут 😁
😎;4;1;no_emotion;positive/negative;3;легенды детства возвращаются 😎
🥺;5;1;sadness;negative;4;самое грустное на сегодня 🥺
🤣;6;1;smile;positive/negative;0;один вопрос, почему он чёрный 🤣
😂;6;1;smile;positive/negative;0;у каждого есть такие фотографии😂
😎;11;1;no_emotion;positive/negative;3;тот случай, когда ты на 99% состоишь из харизмы 😎
🙄;5;1;no_emotion;neutral/skeptical;1;тут без экспертов никуда 🙄
😂;4;1;smile;positive/negative;0;что за ухотерапия😂
😄;5;1;smile;positive/negative;0;как же это грациозно 😄
😍;3;1;joy;positive;2;лyчшиe жeнщины-cyпepгepoи 😍
😂;4;1;smile;positive/negative;0;лайк, если смотрел 😂
💔;6;1;sadness;negative;4;вот до такого доводит ревность💔
😂;5;1;smile;positive/negative;0;ну да ну да😂
💔;6;1;sadness;negative;4;вот до такого доводит ревность💔
😂;8;1;smile;positive/negative;0;посвящение в механики, если кто не понял 😂
😂;7;1;smile;positive/negative;0;денях нет, вот и одеваются так 😂
😂;7;1;smile;positive/negative;0;с нами стыдно, зато весело! 😂
😱;8;1;fear;negative;5;джeйcон cтэйтем в супеpожидаемoм фильмe гaя pичи 😱
😳;6;1;shame;negative;6;зачем им так много солений😳
😂;5;1;smile;positive/negative;0;странно конечно они выглядят 😂
😑;6;1;no_emotion;neutral/skeptical;1;цены на iphone год назад 😑
☺;3;1;smile;positive/negative;0;интересно получается☺
💔;6;1;sadness;negative;4;вот до такого доводит ревность💔
☺;5;1;smile;positive/negative;0;что она пытается сделать☺
💔;6;1;sadness;negative;4;вот до такого доводит ревность💔
😳;9;1;shame;negative;6;а что так можно? взял и пошел 😳
😅;9;1;smile;positive/negative;0;когда я делаю фото, пусть весь мир подождет😅
😅;9;1;smile;positive/negative;0;вычислить то вычислили, а где теперь его найти😅
😅;10;1;smile;positive/negative;0;отличный свадебный наряд, чтобы новую свекровь довести до инфаркта😅
😅;9;1;smile;positive/negative;0;переживаю за их отношения больше, чем за свои😅
😅;6;1;smile;positive/negative;0;некоторые мужчины забывают об этом😅
😅;6;1;smile;positive/negative;0;джимм керри в своем репертуаре😅
😅;7;1;smile;positive/negative;0;когда ты деловой с самого детства😅
😅;11;1;smile;positive/negative;0;как выглядит кухня после того как муж решил приготовить что-то😅
😅;10;1;smile;positive/negative;0;у жениха взгляд такой, как будто его нужно спасать😅
😅;3;1;smile;positive/negative;0;действительно проблема😅
😅;11;1;smile;positive/negative;0;это самый счастливый день в жизни молодоженов и их гостей😅
😅;9;1;smile;positive/negative;0;для мужчин это очень большое признание в чувствах😅
😅;7;1;smile;positive/negative;0;слова, которые мечтает услышать каждая женщина😅
😅;6;1;smile;positive/negative;0;современные женские мечты выглядят так😅
😅;8;1;smile;positive/negative;0;когда любишь, хочется быть лучшей версией себя😅
😅;10;1;smile;positive/negative;0;когда у тебя дома душевая кабинка, но захотелось разнообразия😅
😅;11;1;smile;positive/negative;0;потому, что мужчины добиваются большего, когда с ними нужная женщина😅
😅;6;1;smile;positive/negative;0;этим сейчас уже не запугаешь😅
😅;8;1;smile;positive/negative;0;с такой подписью не стыдно будет расписываться😅
😅;7;1;smile;positive/negative;0;это хорошо звучит только в теории😅
😅;7;1;smile;positive/negative;0;это так не удивительно для мужчин😅
😅;8;1;smile;positive/negative;0;вот в этом и есть женское счастье😅
😅;10;1;smile;positive/negative;0;типичное фото родителей на море в 90-е😅
😅;8;1;smile;positive/negative;0;когда вы не особо друг другу нравитесь😅
😅;9;1;smile;positive/negative;0;сообщения от жены, которая беременная осталась дома одна😅
😅;6;1;smile;positive/negative;0;хорошо, если он вообще приходит😅
😅;9;1;smile;positive/negative;0;а нечего было долго не отвечать на сообщения😅
😅;10;1;smile;positive/negative;0;главное успеть сделать вид, что ты спишь или занят😅
😅;11;1;smile;positive/negative;0;эх, а муж с таким слабеньким букетом пришел в роддом😅
😅;6;1;smile;positive/negative;0;зигмунд фрейд как всегда прав😅
😅;9;1;smile;positive/negative;0;на второй фото у девушки очень плохой почерк😅
😅;6;1;smile;positive/negative;0;маму обижает, что её превзошли😅
😅;6;1;smile;positive/negative;0;маму обижает, что её превзошли😅
😅;7;1;smile;positive/negative;0;это действительно важный и полезный совет😅
😅;10;1;smile;positive/negative;0;они первая пара, которая разбила шаблоны роста в паре😅
😅;10;1;smile;positive/negative;0;две близняшки тоже родили близняшек, они же совсем одинаковые😅
😅;6;1;smile;positive/negative;0;фото, которое вызывает паническую атаку😅
😅;9;1;smile;positive/negative;0;никогда не поздно начать заниматься тем, чем хочется😅
😕;8;1;sadness;negative;4;какие-то нездоровые отношения у брата с сестрой😕
😅;7;1;smile;positive/negative;0;такс, у кого сколько получилось?😅
😅;5;1;smile;positive/negative;0;не жру, а дегустирую😅
😅;9;1;smile;positive/negative;0;всегда выбирайте любовников, которые не так очевидно сбегают😅
😅;7;1;smile;positive/negative;0;та оно и видно в принципе😅
😅;7;1;smile;positive/negative;0;а бабушке мудрости было не занимать😅
😅;8;1;smile;positive/negative;0;вот как выглядит настоящее материнство без прикрас😅
😅;9;1;smile;positive/negative;0;скинул своей девушке, как мы проводим свой вечер😅
😅;9;1;smile;positive/negative;0;после того, что творили даже церковь не выдержит😅
😅;9;1;smile;positive/negative;0;тот самый момент, когда твоя жизнь меняется навсегда😅
😅;7;1;smile;positive/negative;0;надо будет сходить тетрадке по пальто😅
😅;11;1;smile;positive/negative;0;видимо этому ребенку немало денег нужно будет потратить на психолога😅
😅;9;1;smile;positive/negative;0;когда жена не разрешила далеко уходить от дома😅
😅;9;1;smile;positive/negative;0;оно само найдет тебя, когда перестаешь его искать😅
😅;9;1;smile;positive/negative;0;внимательные смогут заменить что на фото не так😅
😅;11;1;smile;positive/negative;0;боже, как молоды мы были😅  галкин здесь вообще ребенок!
😅;11;1;smile;positive/negative;0;со сторны вроде обычное фото, но здесь что-то не так😅
😅;5;1;smile;positive/negative;0;и свет выключите, пожалуйста😅
😅;8;1;smile;positive/negative;0;не всякие изменения меняют женщину к лучшему😅
😅;9;1;smile;positive/negative;0;а вы говорите, что женской дружбы не бывает😅
😅;11;1;smile;positive/negative;0;о боги, а что это у нее на ноге?😅
😅;8;1;smile;positive/negative;0;и не за что-то, а просто так😅
😅;8;1;smile;positive/negative;0;у женщин тоже есть свои бизнес планы😅
😅;8;1;smile;positive/negative;0;после таких фото нужно заглянуть к окулисту😅
😅;4;1;smile;positive/negative;0;чисто холостяцкая обстановка😅
😅;10;1;smile;positive/negative;0;к такой жене я бы с работы не опаздывал😅
😅;5;1;smile;positive/negative;0;люди бывают двух типов😅
😅;6;1;smile;positive/negative;0;именно так это и работает😅
😅;8;1;smile;positive/negative;0;когда очень сильно торопишься до закрытия магазина😅
😅;11;1;smile;positive/negative;0;сначала вам могло показаться, но если рассмотреть, то вы удивитесь😅
😅;7;1;smile;positive/negative;0;легендарное фото «пoцeлyй cмepти»😅
😂;7;1;smile;positive/negative;0;фантазия у ребенка работает на отлично😂
😅;9;1;smile;positive/negative;0;отличный вариант как сэкономить на ресторане и гостях😅
😅;7;1;smile;positive/negative;0;вот бы всем такого заботливого папу😅
😅;8;1;smile;positive/negative;0;день, после которого жизнь женщины изменится навсегда😅
😅;9;1;smile;positive/negative;0;скажите, что вы тоже помните эту прекрасную моду😅
😅;9;1;smile;positive/negative;0;как выглядит тусовка, когда тебе слегка за 30😅
😅;6;1;smile;positive/negative;0;наверное дочка вся в отца😅
😅;6;1;smile;positive/negative;0;это должна быть жизненная цель😅
😅;8;1;smile;positive/negative;0;люди сейчас делятся на 2 типа:😅
😅;6;1;smile;positive/negative;0;и это без преувеличений правда😅
😅;7;1;smile;positive/negative;0;это очень хорошо описывает современный мир😅
😅;8;1;smile;positive/negative;0;все таки поколение еще не совсем потеряно😅
😅;5;1;smile;positive/negative;0;главное, что ответ честный😅
😅;10;1;smile;positive/negative;0;интересно, сколько этот человек потратил на психолога потом?😅
😅;9;1;smile;positive/negative;0;мне кажется, что так думать=себя обманывать😅
😅;6;1;smile;positive/negative;0;то, с чего все началось😅
😅;7;1;smile;positive/negative;0;зато ксюша умеет быстро решать вопросы😅
😅;11;1;smile;positive/negative;0;а ведь они даже не знаю, что их дальше ждет😅
😅;8;1;smile;positive/negative;0;если вы проверите, то будете очень удивлены😅
😅;8;1;smile;positive/negative;0;да нет, это порой труднее, чем кажется😅
😅;7;1;smile;positive/negative;0;вот это я понимаю текучка кадров😅
😅;9;1;smile;positive/negative;0;смотрите на это фото очень внимательно, заметили?😅
😅;8;1;smile;positive/negative;0;хорошо, когда у тебя ребенок с фантазией😅
😅;6;1;smile;positive/negative;0;когда заметила его с бывшей😅
😅;5;1;smile;positive/negative;0;желательно еще и вздремнуть😅
😅;8;1;smile;positive/negative;0;вы смогли найти подвох на фото?😅
😅;7;1;smile;positive/negative;0;вот это отличный пример для пенсионеров😅
😅;7;1;smile;positive/negative;0;эх, жаль, что не оставила адреса😅
😅;9;1;smile;positive/negative;0;зачастую после таких парных тату, люди разводятся быстрее😅
😅;8;1;smile;positive/negative;0;интересно, принесли ли эти пятерки счастье?😅
😅;8;1;smile;positive/negative;0;ребятам время явно пошло только на пользу😅
😅;7;1;smile;positive/negative;0;знакомство с родителями кажется прошло успешно😅
😅;8;1;smile;positive/negative;0;отличный лафхак как заманить к себе мужчину😅
😅;7;1;smile;positive/negative;0;как научили писать так и пишет😅
😅;7;1;smile;positive/negative;0;юмор продлевает жизнь и это доказано😅
😅;10;1;smile;positive/negative;0;а вы заметили, что на фото не так?😅
😅;9;1;smile;positive/negative;0;неужели еще остались актрисы с натуральной красотой?😅
😅;7;1;smile;positive/negative;0;ну наконец-то хоть кто-то сказал правду😅
😅;10;1;smile;positive/negative;0;на самом деле на этом фото целых два человека😅
😅;6;1;smile;positive/negative;0;по-моему это самая главная причина😅
😅;3;1;smile;positive/negative;0;это точно😅
😅;9;1;smile;positive/negative;0;"сейчас таким ""парфюмом"" мало кто пользуется😅"
😅;10;1;smile;positive/negative;0;любовь - это когда ты любишь здесь и сейчас😅
😅;5;1;smile;positive/negative;0;мужчинам совсем не угодишь😅
😅;8;1;smile;positive/negative;0;кажется, что греческие апполоны заблудились в пятерочке😅
😅;8;1;smile;positive/negative;0;и в чем неправ этот отец?😅
😅;10;1;smile;positive/negative;0;они первая пара, которая разбила шаблоны роста в паре😅
😏;6;1;no_emotion;neutral/skeptical;1;аня седакова хвастается своими прелестями 😏
😄;9;1;smile;positive/negative;0;софи тёрнер и джо джонас, когда заметили папарацци 😄
😂;4;1;smile;positive/negative;0;бpaтья уэйaнc лyчшиe 😂
😏;9;1;no_emotion;neutral/skeptical;1;44-летняя светлана камынина хвастается шикарными формами 😏
❤;8;1;joy;positive;2;милашка дженна ортега и её домашние селфи ❤
😻;7;1;joy;positive;2;просто маколей калкин выгуливает своего кота😻
😎;5;1;no_emotion;positive/negative;3;актеры и их дублёры😎
😱;5;1;fear;negative;5;kристину асмус не узнать😱
☺;8;1;smile;positive/negative;0;бритни и её любовь к откровенным фото ☺
🤩;6;1;joy;positive;2;самые красивые наши натуральные красотки 🤩
❤;8;1;joy;positive;2;красотками не рождаются. ими становятся❤️
😁;4;1;smile;positive/negative;0;прям вспомнил детство 😁
😍;11;1;joy;positive;2;яна kошкинa paньшe / ceйчac. a дeвочкa то поxopошeлa 😍
❤;6;1;joy;positive;2;aктриcа bиктoрия бeлякoвa выглядит прекрасно ❤
😃;9;1;smile;positive/negative;0;анна заворотнюк так похожа на свою маму! 😃
☺;3;1;smile;positive/negative;0;смотрели? ☺
😅;9;1;smile;positive/negative;0;да и вообще обо всем в жизни забыл😅
😅;4;1;smile;positive/negative;0;пошёл против системы😅
😳;6;1;shame;negative;6;дана борисова и последствия липосакции😳
💚;9;1;no_emotion;positive/negative;3;хoлли бэйли на съёмкaх кинoaдaптации «русалoчки» 💚
❤;8;1;joy;positive;2;a вeдь oни нe всегда были красотками ❤
☺;6;1;smile;positive/negative;0;вера воронина та ещё красотка ☺
😁;6;1;smile;positive/negative;0;волочкова это наша версия мадонны😁
😬;11;1;no_emotion;neutral/skeptical;1;анастасия волочкова спалила писюху.😬 теперь ты видел всё.
😊;7;1;smile;positive/negative;0;меган фокс не перестает радовать глаз 😊
☺;7;1;smile;positive/negative;0;кажется я скачал не тот скуби-ду ☺
🙈;8;1;no_emotion;neutral/skeptical;1;когда у тебя нет понятия хорошего вкуса🙈
😂;5;1;smile;positive/negative;0;помните их ещё? 😂
😏;5;1;no_emotion;neutral/skeptical;1;такая красивая девочка растет 😏
😍;7;1;joy;positive;2;софья kaштанова в очень горячей фотосессии 😍
😍;5;1;joy;positive;2;шикарный арт с кхалиси 😍
😅;6;1;smile;positive/negative;0;уроки поцелуев от эндрю гарфилда😅
😍;8;1;joy;positive;2;рудова в свои 39 выглядит просто нереально 😍
😳;8;1;shame;negative;6;филипп киркоров после пластических операций сильно изменился 😳
😏;6;1;no_emotion;neutral/skeptical;1;пикантный момент с кимберли гарнер 😏
😌;4;1;joy;positive;2;лaйк, ecли cмoтpeл 😌
😏;10;1;no_emotion;neutral/skeptical;1;рози мак - дублерша дейнерис, которая красивее самой дейнерис😏
😅;3;1;smile;positive/negative;0;идеальное сочетание😅
😜;11;1;no_emotion;positive/negative;3;родители и их дети. ну как две капли!😜
😂;3;1;smile;positive/negative;0;пoкaзaлocь...😂
😎;3;1;no_emotion;positive/negative;3;сквозь года😎
😍;6;1;joy;positive;2;молодая и горячая ума турман😍
😂;10;1;smile;positive/negative;0;тот момент, когда ветер сыграл с тобой злую шутку 😂
😍;3;1;joy;positive;2;лyчшиe жeнщины-cyпepгepoи 😍
😁;7;1;smile;positive/negative;0;ирина шейк - эталон неудачных фото 😁
😁;7;1;smile;positive/negative;0;обычная русская семья по мнению знаменитостей 😁
😁;10;1;smile;positive/negative;0;как взрослела одинадцать за все сезоны очень странных дел 😁
😍;6;1;joy;positive;2;рианна и её шикарная фигурка 😍
😍;9;1;joy;positive;2;подборка некоторых шедевральных открывающих сцен в кино.😍
😅;7;1;smile;positive/negative;0;хейли болдуин и ее неудачные лосины 😅
😎;9;1;no_emotion;positive/negative;3;самая уставшая семья россии снова на отдыхе.😎
🥺;3;1;sadness;negative;4;очень трогательно🥺
😅;8;1;smile;positive/negative;0;встречаем утро с изучением мира животных.😅
❤;5;1;joy;positive;2;тогда и сейчас❤️
😅;9;1;smile;positive/negative;0;словосочетание «текут бабки» обретает новый смысл😅
😍;9;1;joy;positive;2;джулия фокс в фильме «неогранённые драгоценности» 😍
🤩;8;1;joy;positive;2;знаменитые красотки через время🤩 сильно изменились?
😏;10;1;no_emotion;neutral/skeptical;1;кажется, кендалл дженнер после развода уже в активном поиске 😏
😏;9;1;no_emotion;neutral/skeptical;1;папарацци поймали софи тёрнер с мужем и дочками 😏
🤔;6;1;no_emotion;neutral/skeptical;1;у бри новая татуха?🤔
😏;6;1;no_emotion;neutral/skeptical;1;горячая санса старк наслаждается отдыхом 😏
😎;8;1;no_emotion;positive/negative;3;мамасита сальма хайек во время раздачи автографов😎
😏;9;1;no_emotion;neutral/skeptical;1;идеальная сидни суини хвастается своими фотографиями с отпуска 😏
😏;6;1;no_emotion;neutral/skeptical;1;бодипозитивная барби феррейра наслаждается солнышком 😏
😏;11;1;no_emotion;neutral/skeptical;1;"как вам звезда ""comedy woman"" мария кравченко? 😏"
🥰;4;1;joy;positive;2;любимый сериал детства🥰
😂;5;1;smile;positive/negative;0;усатый пухляк из мухосрака 😂
❤;4;1;joy;positive;2;рыжая богиня ❤️
😏;9;1;no_emotion;neutral/skeptical;1;папарацци поймали софи тёрнер с мужем и дочками 😏
😍;10;1;joy;positive;2;kpaсoтка кэти пeрpи и eё любoвь к кopoтким юбoчкaм 😍
😍;7;1;joy;positive;2;тогда и сейчас😍 достойная замена?
😂;6;1;smile;positive/negative;0;переиграла и уничтожила, так сказать 😂
😍;4;1;joy;positive;2;любит своего братика 😍
😂;11;1;smile;positive/negative;0;вот как надо правильно отжиматься, вот так я точно смогу 😂
😂;9;1;smile;positive/negative;0;редкий вид ребенка, который занесен в красную книгу 😂
😇;7;1;smile;positive/negative;0;лапки коротки, зато огромное сердце любви 😇
🥰;6;1;joy;positive;2;настоящая радость для каждой мамочки🥰
😂;7;1;smile;positive/negative;0;эх, вот бы мне такую косметичку 😂
😂;8;1;smile;positive/negative;0;когда не получается уснуть, бывает и такое 😂
😂;7;1;smile;positive/negative;0;кто ищет - тот всегда найдет 😂
😂;8;1;smile;positive/negative;0;интересно, ему так удобно или нет? 😂
😍;10;1;joy;positive;2;кажется это самое милое за сегодня, я вам скажу 😍
😂;10;1;smile;positive/negative;0;ну после нового года белочка наверное к многим приходила 😂
😆;8;1;smile;positive/negative;0;видимо не задали домашку, в oтрыв ушла 😆
😍;8;1;joy;positive;2;а радости то сколько от подарка! 😍
😍;6;1;joy;positive;2;какое счастье, видеть подобное! 😍
😂;5;1;smile;positive/negative;0;мужская солидарность, она такая 😂
😂;7;1;smile;positive/negative;0;девочки мечтают об этом с детства 😂
😂;5;1;smile;positive/negative;0;бухгалтер зажигает на корпоративе 😂
😍;5;1;joy;positive;2;невероятная любовь к хозяину 😍
😍;5;1;joy;positive;2;дружба заслуживающая внимания! 😍
😭;10;1;sadness;negative;4;моя коша уже порвала бы мне руки в лоскуты 😭
🥰;6;1;joy;positive;2;у меня передоз от милоты 🥰
😅;4;1;smile;positive/negative;0;одеялко моей мечты 😅
😂;8;1;smile;positive/negative;0;женихов хороших уже с детства разбирают, девочки 😂
😍;8;1;joy;positive;2;удивительно, как природа создает такую красоту! 😍
😂;5;1;smile;positive/negative;0;да-да, это в точку 😂
💜;4;1;no_emotion;positive/negative;3;букеты нeобычных роз 💜
😅;8;1;smile;positive/negative;0;если бы великие поэты слушали современную музыку 😅
😍;7;1;joy;positive;2;безумно красивая актриса - алина ланина 😍
😄;4;1;smile;positive/negative;0;типичный поступок мамы 😄
😁;7;1;smile;positive/negative;0;наверное, каждый натыкался на подобный рецепт 😁
😄;5;1;smile;positive/negative;0;у кого так, признавайтесь 😄
😂;11;1;smile;positive/negative;0;ну наконец-то хотя бы кто-то пожалел маму 😂  идеальный сын!
😄;9;1;smile;positive/negative;0;без таких моментов в семейно жизни не обойтись 😄
😄;4;1;smile;positive/negative;0;высокие дружеские отношения 😄
😁;3;1;smile;positive/negative;0;просто идеально 😁
😁;8;1;smile;positive/negative;0;все мы первый раз так ели суши 😁
😁;6;1;smile;positive/negative;0;чай не в сказку попала 😁
😁;9;1;smile;positive/negative;0;как разные дети относятся к еде очень знакомо 😁
😁;4;1;smile;positive/negative;0;мода требует жертв 😁
😁;5;1;smile;positive/negative;0;чем дальше тем веселее 😁
😁;9;1;smile;positive/negative;0;прям копия моя семья  и так каждый год 😁
😁;6;1;smile;positive/negative;0;всегда готовлю только в платьях 😁
😁;8;1;smile;positive/negative;0;не у всех так, но бывает...😁
🤣;4;1;smile;positive/negative;0;бедные современные хозяюшки 🤣
😁;6;1;smile;positive/negative;0;в шалаше и в закусочной 😁
